"REF_DATE","GEO","DGUID","Measures","Sex","Age group","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 17","Low 95% confidence interval, percent","Percent","239","units","0","v1792513693","1.1.3.2.2","24.3","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 17","High 95% confidence interval, percent","Percent","239","units","0","v1792513694","1.1.3.2.3","36.4","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 17","Number of persons","Number","223","units","0","v1792513695","1.1.3.2.4","949900","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 17","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513696","1.1.3.2.5","753000","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 17","High 95% confidence interval, number of persons","Number","223","units","0","v1792513697","1.1.3.2.6","1146700","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 5 to 11","Percent","Percent","239","units","0","v1792513704","1.1.3.4.1","36.6","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 5 to 11","Low 95% confidence interval, percent","Percent","239","units","0","v1792513705","1.1.3.4.2","27.0","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 5 to 11","High 95% confidence interval, percent","Percent","239","units","0","v1792513706","1.1.3.4.3","47.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 5 to 11","Number of persons","Number","223","units","0","v1792513707","1.1.3.4.4","527600","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 5 to 11","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513708","1.1.3.4.5","383600","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 5 to 11","High 95% confidence interval, number of persons","Number","223","units","0","v1792513709","1.1.3.4.6","671600","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 12 to 17","Percent","Percent","239","units","0","v1792513710","1.1.3.5.1","8.4","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 12 to 17","Low 95% confidence interval, percent","Percent","239","units","0","v1792513711","1.1.3.5.2","3.3","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 12 to 17","High 95% confidence interval, percent","Percent","239","units","0","v1792513712","1.1.3.5.3","19.6","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 12 to 17","Number of persons","Number","223","units","0","v1792513713","1.1.3.5.4","115700","","","","0"
