"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071325","1.1.2.2.2","50668","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1200071326","1.1.2.2.3","66619","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, fair or poor","Percent","Percent","239","units","0","v1200071327","1.1.2.2.4","1.75","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, fair or poor","Low 95% confidence interval, percent","Percent","239","units","0","v1200071328","1.1.2.2.5","1.53","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, fair or poor","High 95% confidence interval, percent","Percent","239","units","0","v1200071329","1.1.2.2.6","2.00","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v1200071330","1.1.2.3.1","2770600","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071331","1.1.2.3.2","2748009","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, very good or excellent","High 95% confidence interval, number of persons","Number","223","units","0","v1200071332","1.1.2.3.3","2793468","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1200071333","1.1.2.3.4","82.90","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v1200071334","1.1.2.3.5","82.20","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v1200071335","1.1.2.3.6","83.50","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v1200071336","1.1.2.4.1","137800","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071337","1.1.2.4.2","125122","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1200071338","1.1.2.4.3","149631","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1200071339","1.1.2.4.4","4.10","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, fair or poor","Low 95% confidence interval, percent","Percent","239","units","0","v1200071340","1.1.2.4.5","3.80","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived mental health, fair or poor","High 95% confidence interval, percent","Percent","239","units","0","v1200071341","1.1.2.4.6","4.50","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Asthma","Number of persons","Number","223","units","0","v1200071348","1.1.2.6.1","277400","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Asthma","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071349","1.1.2.6.2","259723","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Asthma","High 95% confidence interval, number of persons","Number","223","units","0","v1200071350","1.1.2.6.3","293921","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Asthma","Percent","Percent","239","units","0","v1200071351","1.1.2.6.4","8.30","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Asthma","Low 95% confidence interval, percent","Percent","239","units","0","v1200071352","1.1.2.6.5","7.80","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Asthma","High 95% confidence interval, percent","Percent","239","units","0","v1200071353","1.1.2.6.6","8.80","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Diabetes","Number of persons","Number","223","units","0","v1200071354","1.1.2.7.1","9000","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Diabetes","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071355","1.1.2.7.2","5745","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Diabetes","High 95% confidence interval, number of persons","Number","223","units","0","v1200071356","1.1.2.7.3","12722","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Diabetes","Percent","Percent","239","units","0","v1200071357","1.1.2.7.4","0.27","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Diabetes","Low 95% confidence interval, percent","Percent","239","units","0","v1200071358","1.1.2.7.5","0.18","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Diabetes","High 95% confidence interval, percent","Percent","239","units","0","v1200071359","1.1.2.7.6","0.39","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Epilepsy","Number of persons","Number","223","units","0","v1200071360","1.1.2.8.1","14400","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Epilepsy","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071361","1.1.2.8.2","10549","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Epilepsy","High 95% confidence interval, number of persons","Number","223","units","0","v1200071362","1.1.2.8.3","18909","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Epilepsy","Percent","Percent","239","units","0","v1200071363","1.1.2.8.4","0.43","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Epilepsy","Low 95% confidence interval, percent","Percent","239","units","0","v1200071364","1.1.2.8.5","0.32","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Epilepsy","High 95% confidence interval, percent","Percent","239","units","0","v1200071365","1.1.2.8.6","0.57","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v1200071414","1.1.3.1.1","2833800","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071415","1.1.3.1.2","2815016","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, very good or excellent","High 95% confidence interval, number of persons","Number","223","units","0","v1200071416","1.1.3.1.3","2853559","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1200071417","1.1.3.1.4","89.10","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v1200071418","1.1.3.1.5","88.50","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v1200071419","1.1.3.1.6","89.70","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, fair or poor","Number of persons","Number","223","units","0","v1200071420","1.1.3.2.1","54500","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071421","1.1.3.2.2","46773","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1200071422","1.1.3.2.3","62550","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, fair or poor","Percent","Percent","239","units","0","v1200071423","1.1.3.2.4","1.71","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, fair or poor","Low 95% confidence interval, percent","Percent","239","units","0","v1200071424","1.1.3.2.5","1.48","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived health, fair or poor","High 95% confidence interval, percent","Percent","239","units","0","v1200071425","1.1.3.2.6","1.97","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, very good or excellent","Number of persons","Number","223","units","0","v1200071426","1.1.3.3.1","2653600","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071427","1.1.3.3.2","2631689","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, very good or excellent","High 95% confidence interval, number of persons","Number","223","units","0","v1200071428","1.1.3.3.3","2675952","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1200071429","1.1.3.3.4","83.50","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v1200071430","1.1.3.3.5","82.80","","","","2"
